danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,song_name,artist_name
0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,audio_features,46NzAxDzsE443IsyZndZfP,spotify:track:46NzAxDzsE443IsyZndZfP,https://api.spotify.com/v1/tracks/46NzAxDzsE443IsyZndZfP,https://api.spotify.com/v1/audio-analysis/46NzAxDzsE443IsyZndZfP,236883,4,78,Miss The Rage,Trippie Redd
0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,audio_features,0FZ4Dmg8jJJAPJnvBIzD9z,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,228760,4,79,ZEZE (feat. Travis Scott & Offset),Kodak Black
0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,audio_features,712uvW1Vezq8WpQi38v2L9,spotify:track:712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/tracks/712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/audio-analysis/712uvW1Vezq8WpQi38v2L9,310720,4,69,"Bitch, Don’t Kill My Vibe",Kendrick Lamar
0.777,0.59,0,-8.741,0,0.286,0.397,0.0,0.169,0.238,147.978,audio_features,2cEnKRR4dYBB2VA1mjlb1z,spotify:track:2cEnKRR4dYBB2VA1mjlb1z,https://api.spotify.com/v1/tracks/2cEnKRR4dYBB2VA1mjlb1z,https://api.spotify.com/v1/audio-analysis/2cEnKRR4dYBB2VA1mjlb1z,155738,4,74,Nevada,YoungBoy Never Broke Again
0.678,0.739,3,-4.358,1,0.044,0.0712,0.0,0.388,0.108,110.967,audio_features,0a4SMs889NwP8oWI7Vemle,spotify:track:0a4SMs889NwP8oWI7Vemle,https://api.spotify.com/v1/tracks/0a4SMs889NwP8oWI7Vemle,https://api.spotify.com/v1/audio-analysis/0a4SMs889NwP8oWI7Vemle,226715,4,74,LOOOVE (feat. Kid Cudi),Travis Scott
0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,audio_features,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373,4,80,Beautiful Girls,Sean Kingston
0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,audio_features,25cUhiAod71TIQSNicOaW3,spotify:track:25cUhiAod71TIQSNicOaW3,https://api.spotify.com/v1/tracks/25cUhiAod71TIQSNicOaW3,https://api.spotify.com/v1/audio-analysis/25cUhiAod71TIQSNicOaW3,193147,4,72,Adorn,Miguel
0.705,0.387,2,-9.599,1,0.033,0.572,0.0,0.119,0.493,107.931,audio_features,1dHtMSJ1Ozg2Ja6GX4McAO,spotify:track:1dHtMSJ1Ozg2Ja6GX4McAO,https://api.spotify.com/v1/tracks/1dHtMSJ1Ozg2Ja6GX4McAO,https://api.spotify.com/v1/audio-analysis/1dHtMSJ1Ozg2Ja6GX4McAO,213313,4,75,Paul Revere,Noah Kahan
0.347,0.493,8,-11.548,0,0.29,0.455,0.00366,0.127,0.308,82.887,audio_features,5nkUIVKqOqdpB6ApKgEMkv,spotify:track:5nkUIVKqOqdpB6ApKgEMkv,https://api.spotify.com/v1/tracks/5nkUIVKqOqdpB6ApKgEMkv,https://api.spotify.com/v1/audio-analysis/5nkUIVKqOqdpB6ApKgEMkv,382760,4,79,Stay Ready (What A Life),Jhené Aiko
0.65,0.679,1,-5.557,0,0.0477,0.286,0.0,0.136,0.256,106.059,audio_features,5KfJvZ0PZzRdwFRaTUDAA7,spotify:track:5KfJvZ0PZzRdwFRaTUDAA7,https://api.spotify.com/v1/tracks/5KfJvZ0PZzRdwFRaTUDAA7,https://api.spotify.com/v1/audio-analysis/5KfJvZ0PZzRdwFRaTUDAA7,168600,4,85,Somebody,Jung Kook
0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,audio_features,6y4GYuZszeXNOXuBFsJlos,spotify:track:6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/tracks/6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/audio-analysis/6y4GYuZszeXNOXuBFsJlos,221426,4,77,Kaikai Kitan,Eve
0.781,0.655,2,-7.073,0,0.0457,0.114,0.00249,0.103,0.493,113.031,audio_features,06Qo2fYR2KS1F7bL338iVT,spotify:track:06Qo2fYR2KS1F7bL338iVT,https://api.spotify.com/v1/tracks/06Qo2fYR2KS1F7bL338iVT,https://api.spotify.com/v1/audio-analysis/06Qo2fYR2KS1F7bL338iVT,170995,4,86,Closer to You (feat. Major Lazer),Jung Kook
0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,audio_features,4mmkhcEm1Ljy1U9nwtsxUo,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/audio-analysis/4mmkhcEm1Ljy1U9nwtsxUo,221227,4,78,Through The Wire,Kanye West
0.514,0.605,7,-5.363,1,0.0337,0.774,2.91e-06,0.121,0.409,120.894,audio_features,0WHi11uzahqpEtPGYCW6oQ,spotify:track:0WHi11uzahqpEtPGYCW6oQ,https://api.spotify.com/v1/tracks/0WHi11uzahqpEtPGYCW6oQ,https://api.spotify.com/v1/audio-analysis/0WHi11uzahqpEtPGYCW6oQ,185123,4,75,If I Killed Someone For You,Alec Benjamin
0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,audio_features,6Ozh9Ok6h4Oi1wUSLtBseN,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/tracks/6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/audio-analysis/6Ozh9Ok6h4Oi1wUSLtBseN,159715,4,79,BOP,DaBaby
0.784,0.7,1,-5.289,1,0.0396,0.0112,1.76e-05,0.163,0.204,126.015,audio_features,6l8mgVN9Xf1hiDIFGA6CTE,spotify:track:6l8mgVN9Xf1hiDIFGA6CTE,https://api.spotify.com/v1/tracks/6l8mgVN9Xf1hiDIFGA6CTE,https://api.spotify.com/v1/audio-analysis/6l8mgVN9Xf1hiDIFGA6CTE,260962,4,74,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé
