,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2022,0.736,0.645,1,-5.195,1,0.0807,0.0724,0.00086,0.136,0.201,132.024,audio_features,4367dXCt02KMgELPisJ2D4,spotify:track:4367dXCt02KMgELPisJ2D4,https://api.spotify.com/v1/tracks/4367dXCt02KMgELPisJ2D4,https://api.spotify.com/v1/audio-analysis/4367dXCt02KMgELPisJ2D4,188870,3
2023,0.565,0.56,6,-6.034,1,0.0275,0.538,0.0,0.0961,0.325,159.931,audio_features,67AdiJcurlf6gocGobfaXs,spotify:track:67AdiJcurlf6gocGobfaXs,https://api.spotify.com/v1/tracks/67AdiJcurlf6gocGobfaXs,https://api.spotify.com/v1/audio-analysis/67AdiJcurlf6gocGobfaXs,177267,4
2024,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,4aVuWgvD0X63hcOCnZtNFA,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,235547,4
2025,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,audio_features,5kqIPrATaCc2LqxVWzQGbk,spotify:track:5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,237300,4
2026,0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961,audio_features,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840,4
2027,0.446,0.247,11,-13.036,0,0.0287,0.905,0.233,0.111,0.245,138.328,audio_features,4x1dWc1GgAfC04GcTlllax,spotify:track:4x1dWc1GgAfC04GcTlllax,https://api.spotify.com/v1/tracks/4x1dWc1GgAfC04GcTlllax,https://api.spotify.com/v1/audio-analysis/4x1dWc1GgAfC04GcTlllax,106250,1
2028,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,audio_features,5O4erNlJ74PIF6kGol1ZrC,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000,4
2029,0.589,0.882,6,-3.039,1,0.035,0.0813,0.0,0.146,0.793,129.915,audio_features,3EWMoDIm6lzuR0zQKtuCJX,spotify:track:3EWMoDIm6lzuR0zQKtuCJX,https://api.spotify.com/v1/tracks/3EWMoDIm6lzuR0zQKtuCJX,https://api.spotify.com/v1/audio-analysis/3EWMoDIm6lzuR0zQKtuCJX,197253,4
2030,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,audio_features,1p0rEzrK7YtdRZVtiyV7RN,spotify:track:1p0rEzrK7YtdRZVtiyV7RN,https://api.spotify.com/v1/tracks/1p0rEzrK7YtdRZVtiyV7RN,https://api.spotify.com/v1/audio-analysis/1p0rEzrK7YtdRZVtiyV7RN,195429,4
2031,0.898,0.376,1,-10.359,1,0.172,0.105,0.145,0.105,0.373,105.012,audio_features,1EykqsKCk0TNTTsqXrqGVy,spotify:track:1EykqsKCk0TNTTsqXrqGVy,https://api.spotify.com/v1/tracks/1EykqsKCk0TNTTsqXrqGVy,https://api.spotify.com/v1/audio-analysis/1EykqsKCk0TNTTsqXrqGVy,164571,4
