,popularity,song_name,artist_name
217,79,Hasta Que Me Olvides,Luis Miguel
218,0,Playa del inglés,Quevedo
219,2,Playa del inglés,Quevedo
220,1,Playa del inglés,Quevedo
221,70,A Qué Le Tiramos,Bronco
222,65,I Want To Break Free - Remastered 2011,Queen
223,65,El Quijote De Don Chuy,Cuarto de Milla
224,69,Lifestyle,Rich Gang
225,66,Para Qué Quieres Volver,Los Caminantes
226,82,WANDA,Quevedo
227,78,Yo Quisiera,Reik
228,74,Formation,Beyoncé
229,64,Mas Que Amigos,LDNE
230,0,Quero um TBT (Sped Up) - Bônus,MC Ryan SP
231,0,Quero um TBT (Sped Up) - Bônus,MC Ryan SP
232,0,Quero um TBT (Sped Up) - Bônus,MC Ryan SP
233,75,COZY,Beyoncé
234,76,¿Qué Nos Pasó?,Anuel AA
235,73,midnight love,girl in red
236,69,Para Que Regreses,El Chapo De Sinaloa
237,71,Quién Es Usted,"Sergio Vega ""El Shaka"""
238,65,Que Sigan Llegando Las Pacas,Chino Pacas
239,63,Y Es Que Contigo,Los Gemelos De Sinaloa
240,86,Don't,Bryson Tiller
241,88,Dreams - 2004 Remaster,Fleetwood Mac
242,90,Die For You,The Weeknd
243,86,Drip Too Hard (Lil Baby & Gunna),Lil Baby
244,87,Delicate,Taylor Swift
245,83,Deli,Ice Spice
246,82,Do You Hear What I Hear? - Remastered 2006,Bing Crosby
247,88,Do They Know It's Christmas? - 1984 Version,Band Aid
248,88,Daddy Issues,The Neighbourhood
249,90,Do I Wanna Know?,Arctic Monkeys
250,88,deja vu,Olivia Rodrigo
251,81,Dial Drunk,Noah Kahan
252,91,DILUVIO,Rauw Alejandro
253,81,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie
254,85,Duvet,bôa
255,82,Devil In A New Dress,Kanye West
256,90,Dandelions,Ruth B.
257,88,drivers license,Olivia Rodrigo
258,82,DNA.,Kendrick Lamar
259,78,Donde Estás,Ivan Cornejo
260,80,Dragula,Rob Zombie
261,93,IDGAF (feat. Yeat),Drake
262,94,Clean Baby Sleep White Noise (Loopable),Dream Supplier
263,91,First Person Shooter (feat. J. Cole),Drake
264,94,Let It Snow! Let It Snow! Let It Snow!,Dean Martin
265,91,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift
266,88,MELTDOWN (feat. Drake),Travis Scott
267,89,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake
268,85,Hey Driver (feat. The War and Treaty),Zach Bryan
269,93,Agora Hills,Doja Cat
270,84,Fighting My Demons,Ken Carson
271,86,Wet Dreamz,J. Cole
272,95,Paint The Town Red,Doja Cat
273,87,Ric Flair Drip (with Metro Boomin),Offset
