danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,popularity,song_name,artist_name,genius_id,release_date
0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,audio_features,3xrn9i8zhNZsTtcoWgQEAd,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,https://api.spotify.com/v1/tracks/3xrn9i8zhNZsTtcoWgQEAd,https://api.spotify.com/v1/audio-analysis/3xrn9i8zhNZsTtcoWgQEAd,188960,4,"['dance pop', 'pop', 'talent show']",75,Since U Been Gone,Kelly Clarkson,198434,"{'year': 2004, 'month': 11, 'day': 16}"
0.774,0.608,7,-6.264,1,0.128,0.128,0.0,0.0895,0.56,137.494,audio_features,02FaKXXL7KUtRc7K0k54tL,spotify:track:02FaKXXL7KUtRc7K0k54tL,https://api.spotify.com/v1/tracks/02FaKXXL7KUtRc7K0k54tL,https://api.spotify.com/v1/audio-analysis/02FaKXXL7KUtRc7K0k54tL,182521,4,['pop'],82,Cozy Little Christmas,Katy Perry,4092048,"{'year': 2018, 'month': 11, 'day': 20}"
0.786,0.698,1,-4.697,1,0.0976,0.0175,0.0,0.194,0.168,154.954,audio_features,293QwzG48nRXlqk5lGDUbw,spotify:track:293QwzG48nRXlqk5lGDUbw,https://api.spotify.com/v1/tracks/293QwzG48nRXlqk5lGDUbw,https://api.spotify.com/v1/audio-analysis/293QwzG48nRXlqk5lGDUbw,142452,4,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",71,Keep It Low (feat. Future),Moneybagg Yo,9190171,"{'year': 2023, 'month': 6, 'day': 2}"
0.5,0.748,0,-5.927,1,0.0364,0.00291,0.0,0.112,0.448,148.009,audio_features,3kXH9BQq0TyNliiP1MIE6N,spotify:track:3kXH9BQq0TyNliiP1MIE6N,https://api.spotify.com/v1/tracks/3kXH9BQq0TyNliiP1MIE6N,https://api.spotify.com/v1/audio-analysis/3kXH9BQq0TyNliiP1MIE6N,201067,4,"['modern country pop', 'texas country']",75,Wild as Her,Corey Kent,7764096,"{'year': 2022, 'month': 3, 'day': 4}"
0.693,0.713,10,-4.489,0,0.351,0.343,0.0,0.102,0.615,137.335,audio_features,593W4qZOwwdqF6YnimJjL6,spotify:track:593W4qZOwwdqF6YnimJjL6,https://api.spotify.com/v1/tracks/593W4qZOwwdqF6YnimJjL6,https://api.spotify.com/v1/audio-analysis/593W4qZOwwdqF6YnimJjL6,266080,4,"['pop', 'r&b', 'rap']",73,Doves In The Wind (feat. Kendrick Lamar),SZA,8540442,
0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4,"['pop', 'r&b']",85,CUFF IT,Beyoncé,8219830,"{'year': 2022, 'month': 7, 'day': 29}"
0.753,0.472,3,-9.761,0,0.121,0.48,0.0133,0.284,0.816,135.277,audio_features,7pv80uUHfocFqfTytu1MVi,spotify:track:7pv80uUHfocFqfTytu1MVi,https://api.spotify.com/v1/tracks/7pv80uUHfocFqfTytu1MVi,https://api.spotify.com/v1/audio-analysis/7pv80uUHfocFqfTytu1MVi,238733,4,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",73,Didn't Cha Know,Erykah Badu,55552,"{'year': 2000, 'month': 11, 'day': 21}"
0.396,0.244,0,-11.391,1,0.0355,0.725,8.29e-05,0.111,0.178,172.399,audio_features,3fKpSA5w8iqLe9sNdIDESW,spotify:track:3fKpSA5w8iqLe9sNdIDESW,https://api.spotify.com/v1/tracks/3fKpSA5w8iqLe9sNdIDESW,https://api.spotify.com/v1/audio-analysis/3fKpSA5w8iqLe9sNdIDESW,274790,4,['pov: indie'],76,Call Your Mom (with Lizzy McAlpine),Noah Kahan,9510813,"{'year': 2023, 'month': 9, 'day': 15}"
0.712,0.51,8,-8.162,1,0.0633,0.446,2.46e-05,0.112,0.268,122.964,audio_features,2Za1AlJNvksouPPWbXpR2X,spotify:track:2Za1AlJNvksouPPWbXpR2X,https://api.spotify.com/v1/tracks/2Za1AlJNvksouPPWbXpR2X,https://api.spotify.com/v1/audio-analysis/2Za1AlJNvksouPPWbXpR2X,240507,4,"['pop rap', 'seattle hip hop']",75,Good Old Days (feat. Kesha),Macklemore,3635029,
0.797,0.743,11,-6.005,1,0.174,0.164,1.2e-06,0.164,0.768,114.878,audio_features,0k0GtcnyQLMiXrdEDbLXmJ,spotify:track:0k0GtcnyQLMiXrdEDbLXmJ,https://api.spotify.com/v1/tracks/0k0GtcnyQLMiXrdEDbLXmJ,https://api.spotify.com/v1/audio-analysis/0k0GtcnyQLMiXrdEDbLXmJ,146685,4,['k-pop'],87,Please Don't Change (feat. DJ Snake),Jung Kook,9751228,
0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,audio_features,7zVCrzzEJU7u24sbJPXA5W,spotify:track:7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W,188253,4,"['black americana', 'contemporary country', 'country', 'country road']",75,What Ifs (feat. Lauren Alaina),Kane Brown,3438614,
0.649,0.622,8,-7.054,1,0.0582,0.074,0.0,0.594,0.106,90.024,audio_features,5oqDgw5VGBln5dSIOPWyBq,spotify:track:5oqDgw5VGBln5dSIOPWyBq,https://api.spotify.com/v1/tracks/5oqDgw5VGBln5dSIOPWyBq,https://api.spotify.com/v1/audio-analysis/5oqDgw5VGBln5dSIOPWyBq,204852,4,['pop'],75,Karma,Taylor Swift,8485918,"{'year': 2022, 'month': 10, 'day': 21}"
0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,audio_features,3wKKkGVn7cVSfgPeYYIiXG,spotify:track:3wKKkGVn7cVSfgPeYYIiXG,https://api.spotify.com/v1/tracks/3wKKkGVn7cVSfgPeYYIiXG,https://api.spotify.com/v1/audio-analysis/3wKKkGVn7cVSfgPeYYIiXG,250667,3,"['r&b', 'rap']",74,Kiss Kiss (feat. T-Pain),Chris Brown,3590039,
0.688,0.734,9,-4.569,1,0.0274,0.00462,0.0,0.0756,0.46,140.004,audio_features,2hns6Dv29Yrg68AVTJiAyA,spotify:track:2hns6Dv29Yrg68AVTJiAyA,https://api.spotify.com/v1/tracks/2hns6Dv29Yrg68AVTJiAyA,https://api.spotify.com/v1/audio-analysis/2hns6Dv29Yrg68AVTJiAyA,208493,4,"['dance pop', 'pop']",77,Who Knew,P!nk,195138,"{'year': 2006, 'month': 5, 'day': 18}"
0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,audio_features,0r2Bul2NuCViraT2zX1l5j,spotify:track:0r2Bul2NuCViraT2zX1l5j,https://api.spotify.com/v1/tracks/0r2Bul2NuCViraT2zX1l5j,https://api.spotify.com/v1/audio-analysis/0r2Bul2NuCViraT2zX1l5j,334067,4,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",77,Get Low,Lil Jon & The East Side Boyz,852,"{'year': 2002, 'month': 10, 'day': 8}"
0.841,0.732,7,-5.186,0,0.19,0.0115,2.18e-05,0.136,0.576,149.012,audio_features,4mIHgQ3ofK2RK34UdbqMbe,spotify:track:4mIHgQ3ofK2RK34UdbqMbe,https://api.spotify.com/v1/tracks/4mIHgQ3ofK2RK34UdbqMbe,https://api.spotify.com/v1/audio-analysis/4mIHgQ3ofK2RK34UdbqMbe,143480,4,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",79,Ambition For Cash,Key Glock,7247196,"{'year': 2021, 'month': 10, 'day': 1}"
0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,audio_features,3XVBdLihbNbxUwZosxcGuJ,spotify:track:3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,228707,3,"['neo soul', 'pop', 'r&b']",83,If I Ain't Got You,Alicia Keys,276051,"{'year': 2004, 'month': 2, 'day': 17}"
0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4,"['pop', 'r&b']",81,Crazy In Love (feat. Jay-Z),Beyoncé,494663,"{'year': 2004, 'month': 12, 'day': 9}"
0.656,0.584,5,-8.959,0,0.0524,0.544,5.51e-05,0.13,0.445,119.871,audio_features,33uKUpu9ZXsHhcxRLoxnWI,spotify:track:33uKUpu9ZXsHhcxRLoxnWI,https://api.spotify.com/v1/tracks/33uKUpu9ZXsHhcxRLoxnWI,https://api.spotify.com/v1/audio-analysis/33uKUpu9ZXsHhcxRLoxnWI,245629,4,['alt z'],74,I know it won't work,Gracie Abrams,8791656,"{'year': 2023, 'month': 2, 'day': 24}"
0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,audio_features,6D60klaHqbCl9ySc8VcRss,spotify:track:6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/tracks/6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/audio-analysis/6D60klaHqbCl9ySc8VcRss,221947,4,"['dance pop', 'pop', 'talent show']",68,Stronger (What Doesn't Kill You),Kelly Clarkson,198560,"{'year': 2012, 'month': 1, 'day': 17}"
0.419,0.817,2,-4.704,1,0.0468,0.0243,0.0,0.251,0.317,78.107,audio_features,5glU2EWqa5hpYqGPboSNjV,spotify:track:5glU2EWqa5hpYqGPboSNjV,https://api.spotify.com/v1/tracks/5glU2EWqa5hpYqGPboSNjV,https://api.spotify.com/v1/audio-analysis/5glU2EWqa5hpYqGPboSNjV,202600,4,"['a cappella', 'viral pop']",74,Kid On Christmas (feat. Meghan Trainor),Pentatonix,8494846,"{'year': 2022, 'month': 10, 'day': 28}"
0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,audio_features,46NzAxDzsE443IsyZndZfP,spotify:track:46NzAxDzsE443IsyZndZfP,https://api.spotify.com/v1/tracks/46NzAxDzsE443IsyZndZfP,https://api.spotify.com/v1/audio-analysis/46NzAxDzsE443IsyZndZfP,236883,4,"['melodic rap', 'rap', 'trap']",78,Miss The Rage,Trippie Redd,6299714,"{'year': 2021, 'month': 5, 'day': 7}"
0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,audio_features,0FZ4Dmg8jJJAPJnvBIzD9z,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,228760,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",79,ZEZE (feat. Travis Scott & Offset),Kodak Black,4081316,"{'year': 2018, 'month': 10, 'day': 12}"
0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,audio_features,712uvW1Vezq8WpQi38v2L9,spotify:track:712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/tracks/712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/audio-analysis/712uvW1Vezq8WpQi38v2L9,310720,4,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",69,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,90473,"{'year': 2012, 'month': 10, 'day': 22}"
0.777,0.59,0,-8.741,0,0.286,0.397,0.0,0.169,0.238,147.978,audio_features,2cEnKRR4dYBB2VA1mjlb1z,spotify:track:2cEnKRR4dYBB2VA1mjlb1z,https://api.spotify.com/v1/tracks/2cEnKRR4dYBB2VA1mjlb1z,https://api.spotify.com/v1/audio-analysis/2cEnKRR4dYBB2VA1mjlb1z,155738,4,"['baton rouge rap', 'rap']",74,Nevada,YoungBoy Never Broke Again,6297520,"{'year': 2021, 'month': 7, 'day': 7}"
0.678,0.739,3,-4.358,1,0.044,0.0712,0.0,0.388,0.108,110.967,audio_features,0a4SMs889NwP8oWI7Vemle,spotify:track:0a4SMs889NwP8oWI7Vemle,https://api.spotify.com/v1/tracks/0a4SMs889NwP8oWI7Vemle,https://api.spotify.com/v1/audio-analysis/0a4SMs889NwP8oWI7Vemle,226715,4,"['hip hop', 'rap', 'slap house']",74,LOOOVE (feat. Kid Cudi),Travis Scott,6679401,"{'year': 2021, 'month': 11, 'day': 17}"
0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,audio_features,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373,4,"['dance pop', 'miami hip hop', 'pop']",80,Beautiful Girls,Sean Kingston,42480,"{'year': 2008, 'month': 2, 'day': 10}"
0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,audio_features,25cUhiAod71TIQSNicOaW3,spotify:track:25cUhiAod71TIQSNicOaW3,https://api.spotify.com/v1/tracks/25cUhiAod71TIQSNicOaW3,https://api.spotify.com/v1/audio-analysis/25cUhiAod71TIQSNicOaW3,193147,4,['r&b'],72,Adorn,Miguel,68713,"{'year': 2012, 'month': 2, 'day': 28}"
0.705,0.387,2,-9.599,1,0.033,0.572,0.0,0.119,0.493,107.931,audio_features,1dHtMSJ1Ozg2Ja6GX4McAO,spotify:track:1dHtMSJ1Ozg2Ja6GX4McAO,https://api.spotify.com/v1/tracks/1dHtMSJ1Ozg2Ja6GX4McAO,https://api.spotify.com/v1/audio-analysis/1dHtMSJ1Ozg2Ja6GX4McAO,213313,4,['pov: indie'],75,Paul Revere,Noah Kahan,9078624,"{'year': 2023, 'month': 6, 'day': 9}"
0.347,0.493,8,-11.548,0,0.29,0.455,0.00366,0.127,0.308,82.887,audio_features,5nkUIVKqOqdpB6ApKgEMkv,spotify:track:5nkUIVKqOqdpB6ApKgEMkv,https://api.spotify.com/v1/tracks/5nkUIVKqOqdpB6ApKgEMkv,https://api.spotify.com/v1/audio-analysis/5nkUIVKqOqdpB6ApKgEMkv,382760,4,['r&b'],79,Stay Ready (What A Life),Jhené Aiko,255867,"{'year': 2013, 'month': 11, 'day': 12}"
0.65,0.679,1,-5.557,0,0.0477,0.286,0.0,0.136,0.256,106.059,audio_features,5KfJvZ0PZzRdwFRaTUDAA7,spotify:track:5KfJvZ0PZzRdwFRaTUDAA7,https://api.spotify.com/v1/tracks/5KfJvZ0PZzRdwFRaTUDAA7,https://api.spotify.com/v1/audio-analysis/5KfJvZ0PZzRdwFRaTUDAA7,168600,4,['k-pop'],85,Somebody,Jung Kook,9625989,"{'year': 2023, 'month': 11, 'day': 3}"
0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,audio_features,6y4GYuZszeXNOXuBFsJlos,spotify:track:6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/tracks/6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/audio-analysis/6y4GYuZszeXNOXuBFsJlos,221426,4,"['anime', 'anime rock']",77,Kaikai Kitan,Eve,5862684,"{'year': 2020, 'month': 10, 'day': 1}"
0.781,0.655,2,-7.073,0,0.0457,0.114,0.00249,0.103,0.493,113.031,audio_features,06Qo2fYR2KS1F7bL338iVT,spotify:track:06Qo2fYR2KS1F7bL338iVT,https://api.spotify.com/v1/tracks/06Qo2fYR2KS1F7bL338iVT,https://api.spotify.com/v1/audio-analysis/06Qo2fYR2KS1F7bL338iVT,170995,4,['k-pop'],86,Closer to You (feat. Major Lazer),Jung Kook,9697367,"{'year': 2023, 'month': 11, 'day': 3}"
0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,audio_features,4mmkhcEm1Ljy1U9nwtsxUo,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/audio-analysis/4mmkhcEm1Ljy1U9nwtsxUo,221227,4,"['chicago rap', 'hip hop', 'rap']",78,Through The Wire,Kanye West,238,"{'year': 2003, 'month': 9, 'day': 30}"
0.514,0.605,7,-5.363,1,0.0337,0.774,2.91e-06,0.121,0.409,120.894,audio_features,0WHi11uzahqpEtPGYCW6oQ,spotify:track:0WHi11uzahqpEtPGYCW6oQ,https://api.spotify.com/v1/tracks/0WHi11uzahqpEtPGYCW6oQ,https://api.spotify.com/v1/audio-analysis/0WHi11uzahqpEtPGYCW6oQ,185123,4,"['alt z', 'pop', 'pov: indie']",75,If I Killed Someone For You,Alec Benjamin,4093777,"{'year': 2018, 'month': 11, 'day': 16}"
0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,audio_features,6Ozh9Ok6h4Oi1wUSLtBseN,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/tracks/6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/audio-analysis/6Ozh9Ok6h4Oi1wUSLtBseN,159715,4,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",79,BOP,DaBaby,4895345,"{'year': 2019, 'month': 9, 'day': 27}"
0.784,0.7,1,-5.289,1,0.0396,0.0112,1.76e-05,0.163,0.204,126.015,audio_features,6l8mgVN9Xf1hiDIFGA6CTE,spotify:track:6l8mgVN9Xf1hiDIFGA6CTE,https://api.spotify.com/v1/tracks/6l8mgVN9Xf1hiDIFGA6CTE,https://api.spotify.com/v1/audio-analysis/6l8mgVN9Xf1hiDIFGA6CTE,260962,4,"['pop', 'r&b']",74,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,8616601,"{'year': 2023, 'month': 12, 'day': 31}"
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,audio_features,7EQGXaVSyEDsCWKmUcfpLk,spotify:track:7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/tracks/7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/audio-analysis/7EQGXaVSyEDsCWKmUcfpLk,211920,4,"['dance pop', 'pop']",80,Die Young,Kesha,89732,"{'year': 2012, 'month': 9, 'day': 25}"
0.849,0.755,1,-7.4,0,0.363,0.346,0.0,0.0564,0.393,144.188,audio_features,7EcE5yCPVZaZut1JqowbcI,spotify:track:7EcE5yCPVZaZut1JqowbcI,https://api.spotify.com/v1/tracks/7EcE5yCPVZaZut1JqowbcI,https://api.spotify.com/v1/audio-analysis/7EcE5yCPVZaZut1JqowbcI,206655,4,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']",75,Faneto,Chief Keef,530472,"{'year': 2014, 'month': 10, 'day': 2}"
0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,audio_features,6vWEAOUSxohKxhp0K1BsxL,spotify:track:6vWEAOUSxohKxhp0K1BsxL,https://api.spotify.com/v1/tracks/6vWEAOUSxohKxhp0K1BsxL,https://api.spotify.com/v1/audio-analysis/6vWEAOUSxohKxhp0K1BsxL,230400,4,"['melodic rap', 'rap']",73,Mixed Personalities (feat. Kanye West),YNW Melly,5987993,"{'year': 2021, 'month': 8, 'day': 29}"
0.7,0.139,8,-12.346,1,0.0607,0.902,0.0,0.185,0.49,84.485,audio_features,1foCxQtxBweJtZmdxhEHVO,spotify:track:1foCxQtxBweJtZmdxhEHVO,https://api.spotify.com/v1/tracks/1foCxQtxBweJtZmdxhEHVO,https://api.spotify.com/v1/audio-analysis/1foCxQtxBweJtZmdxhEHVO,206067,4,"['torch song', 'vocal jazz']",79,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,-1,"{'year': 0, 'month': 0, 'day': 0}"
0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684,audio_features,6SwRhMLwNqEi6alNPVG00n,spotify:track:6SwRhMLwNqEi6alNPVG00n,https://api.spotify.com/v1/tracks/6SwRhMLwNqEi6alNPVG00n,https://api.spotify.com/v1/audio-analysis/6SwRhMLwNqEi6alNPVG00n,227360,4,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",80,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,5987990,"{'year': 2018, 'month': 2, 'day': 19}"
0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,audio_features,62LJFaYihsdVrrkgUOJC05,spotify:track:62LJFaYihsdVrrkgUOJC05,https://api.spotify.com/v1/tracks/62LJFaYihsdVrrkgUOJC05,https://api.spotify.com/v1/audio-analysis/62LJFaYihsdVrrkgUOJC05,226240,4,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']",77,Kiss,Prince,91395,"{'year': 1986, 'month': 2, 'day': 5}"
0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962,audio_features,4ZPdLEztrlZqbJkgHNw54L,spotify:track:4ZPdLEztrlZqbJkgHNw54L,https://api.spotify.com/v1/tracks/4ZPdLEztrlZqbJkgHNw54L,https://api.spotify.com/v1/audio-analysis/4ZPdLEztrlZqbJkgHNw54L,207000,4,"['chicago rap', 'hip hop', 'rap']",79,Good Life,Kanye West,1043,"{'year': 2007, 'month': 10, 'day': 2}"
