danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,popularity,song_name,artist_name,genius_id,release_date
0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,audio_features,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013,4,['pop'],88,drivers license,Olivia Rodrigo,5795230,"{'year': 2021, 'month': 1, 'day': 8}"
0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,audio_features,6HZILIRieu8S0iqY8kIKhj,spotify:track:6HZILIRieu8S0iqY8kIKhj,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj,https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj,185947,4,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",82,DNA.,Kendrick Lamar,3035222,"{'year': 2017, 'month': 4, 'day': 14}"
0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,audio_features,6Nm8h73ycDG2saCnZV8poF,spotify:track:6Nm8h73ycDG2saCnZV8poF,https://api.spotify.com/v1/tracks/6Nm8h73ycDG2saCnZV8poF,https://api.spotify.com/v1/audio-analysis/6Nm8h73ycDG2saCnZV8poF,222827,4,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",80,Dragula,Rob Zombie,424002,"{'year': 1998, 'month': 8, 'day': 1}"
0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,audio_features,2YSzYUF3jWqb9YP9VXmpjE,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/audio-analysis/2YSzYUF3jWqb9YP9VXmpjE,260111,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",93,IDGAF (feat. Yeat),Drake,9796186,"{'year': 2023, 'month': 12, 'day': 1}"
0.0,0.00832,7,-26.712,1,0.0,0.917,1.0,0.111,0.0,0.0,audio_features,0zirWZTcXBBwGsevrsIpvT,spotify:track:0zirWZTcXBBwGsevrsIpvT,https://api.spotify.com/v1/tracks/0zirWZTcXBBwGsevrsIpvT,https://api.spotify.com/v1/audio-analysis/0zirWZTcXBBwGsevrsIpvT,142222,0,,94,Clean Baby Sleep White Noise (Loopable),Dream Supplier,187785,
0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,audio_features,7aqfrAY2p9BUSiupwk3svU,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",91,First Person Shooter (feat. J. Cole),Drake,5104758,
0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,audio_features,2uFaJJtFpPDc5Pa95XzTvg,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/tracks/2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/audio-analysis/2uFaJJtFpPDc5Pa95XzTvg,117147,4,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",94,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1422051,"{'year': 1959, 'month': 10, 'day': None}"
0.793,0.512,0,-9.319,1,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,audio_features,5KD6AEm19QnMbfWpfoOHMl,spotify:track:5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/tracks/5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/audio-analysis/5KD6AEm19QnMbfWpfoOHMl,146437,4,['pop'],91,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,9666585,"{'year': 2023, 'month': 10, 'day': 27}"
0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,audio_features,67nepsnrcZkowTxMWigSbb,spotify:track:67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/tracks/67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/audio-analysis/67nepsnrcZkowTxMWigSbb,246134,4,"['hip hop', 'rap', 'slap house']",88,MELTDOWN (feat. Drake),Travis Scott,9370192,"{'year': 2023, 'month': 7, 'day': 28}"
0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,audio_features,1yeB8MUNeLo9Ek1UEpsyz6,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/tracks/1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/audio-analysis/1yeB8MUNeLo9Ek1UEpsyz6,319192,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",89,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,9692879,"{'year': 2023, 'month': 11, 'day': 2}"
0.583,0.351,0,-5.836,1,0.0306,0.494,0.0,0.368,0.462,79.014,audio_features,4pCbJC43j3gSqG6Fen6upD,spotify:track:4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/tracks/4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/audio-analysis/4pCbJC43j3gSqG6Fen6upD,227467,4,"['classic oklahoma country', 'modern country pop']",85,Hey Driver (feat. The War and Treaty),Zach Bryan,9165868,"{'year': 2023, 'month': 8, 'day': 25}"
0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,audio_features,7dJYggqjKo71KI9sLzqCs8,spotify:track:7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/tracks/7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/audio-analysis/7dJYggqjKo71KI9sLzqCs8,265360,4,"['dance pop', 'pop']",93,Agora Hills,Doja Cat,8996826,"{'year': 2023, 'month': 9, 'day': 22}"
0.538,0.669,1,-4.97,1,0.0518,0.00437,1.03e-05,0.43,0.0389,141.659,audio_features,2c7sRekhMGlj7u1WIIzoQu,spotify:track:2c7sRekhMGlj7u1WIIzoQu,https://api.spotify.com/v1/tracks/2c7sRekhMGlj7u1WIIzoQu,https://api.spotify.com/v1/audio-analysis/2c7sRekhMGlj7u1WIIzoQu,150402,4,['rage rap'],84,Fighting My Demons,Ken Carson,8922722,"{'year': 2023, 'month': 10, 'day': 13}"
